"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"12718","FANCD2","SAXO2","PARP11","MIR502",12718,10707,10622,11239,4221
"12719","ZNF180","CDK7","CD302","LOC105376322",12719,10709,10623,11239,4222
"12720","IZUMO4","NXNL2","NINL","DEFA3",12720,10710,10624,11241,4222
"12721","PPP4R4","LINC01820","CCNT2-AS1","LOC101928389",12721,10710,10625,11241,4223
"12722","ZER1","TMEM92","FAM151B","ASB17",12722,10712,10626,11243,4223
"12723","PSMD4","OVGP1","LPAR3","LOC100996709",12723,10713,10627,11244,4223
"12724","MDM4","CC2D1A","ZNF625","H2AC13",12724,10715,10629,11244,4224
"12725","CHI3L2","CPEB1","FRZB","HAX1",12725,10716,10631,11244,4226
"12726","ANKRD36C","LOC105372190","CAPNS1","SPINT4",12726,10718,10632,11246,4226
"12727","USP14","LOC105375384","IFT57","LOC105379011",12727,10719,10634,11247,4227
"12728","GJC1","LOC105373074","PAFAH1B3","PLA2G4E-AS1",12728,10720,10635,11249,4227
"12729","ZC3H10","DUOX1","DPYD","MYO1B",12729,10722,10637,11251,4228
"12730","ZNF614","TTC36","ESCO1","CCKBR",12730,10723,10639,11252,4228
"12731","CYP26B1","APOL4","ACADSB","VN1R4",12731,10725,10641,11254,4228
"12732","DHODH","LINC01431","JAM2","CARHSP1",12732,10726,10642,11255,4229
"12733","CHRNA5","STXBP2","GPRC5D-AS1","VWC2L-IT1",12733,10726,10644,11257,4230
"12734","RPS14P3","LINC01534","STK25","ADCY9",12734,10728,10645,11259,4231
"12735","COA4","DGUOK-AS1","ANGEL1","C3orf49",12735,10729,10646,11261,4231
"12736","ARSL","LRRC8C-DT","NCF2","CTNNA1",12736,10729,10647,11261,4232
"12737","CLN8","IER3","TPM3","MIR4298",12737,10729,10648,11262,4233
"12738","AP1G1","VWF","LASP1","BORCS8",12738,10731,10650,11264,4234
"12739","PPIA","KCNT1","SUN1","MVB12B",12739,10732,10652,11265,4235
"12740","LAMC1","LOC441728","SNX13","PABPC5",12740,10733,10653,11266,4236
